"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd"
"33","2018-05-10","(20,60]","negative",11.8988447433405,11.7636965787162,0.608990163338315
"34","2018-05-10","(20,60]","positive",10.2729532106524,10.2211931362202,0.296968489829111
"35","2018-05-14","[1,3]","negative",1.90300478685223,1.90618942774747,0.0177729145759457
"36","2018-05-14","(3,7]","negative",2.05054959189166,2.05229761800733,0.0673573357172977
"37","2018-05-14","(7,20]","negative",2.22781308782275,2.22045028930527,0.0233290787814246
"38","2018-05-17","[1,3]","negative",2.28668763635931,2.45470763612794,1.03876067052381
"39","2018-05-17","(3,7]","negative",6.68316259745253,6.57859733331582,1.09658818071796
"40","2018-05-17","(7,20]","negative",9.20949516650799,9.12096623028784,0.319876453384213
"41","2018-05-17","(20,60]","negative",7.9265369180515,8.00127093928917,0.268993570381353
"42","2018-05-20","[1,3]","negative",5.20337918267111,5.22915372523415,0.07053045436037
"43","2018-05-20","[1,3]","positive",6.2746091773083,6.28174376038421,0.0232299030205959
"44","2018-05-20","(3,7]","negative",6.0657447523575,6.05392863333709,0.394010371427944
"45","2018-05-20","(3,7]","positive",6.59288054475181,6.6048614096044,0.179469551470883
"46","2018-05-20","(7,20]","negative",7.45469229638855,7.41975344678525,0.398570101425077
"47","2018-05-20","(7,20]","positive",7.58231975073052,7.50236191425988,0.237809507723173
"48","2018-05-23","[1,3]","negative",3.04191042283633,3.07762459825128,0.309413595618714
"49","2018-05-23","[1,3]","positive",2.1777282122419,2.29021429818093,0.388781912863007
"50","2018-05-23","(3,7]","negative",4.6774147331641,4.63217129975571,0.529032747158121
"51","2018-05-23","(3,7]","positive",4.57399332061212,4.47643392369557,0.678832414668756
"52","2018-05-23","(7,20]","negative",6.15584029624315,6.22024422247846,0.49072419763573
"53","2018-05-23","(7,20]","positive",5.63711923711237,5.84213310378097,0.350360276474576
"54","2018-05-23","(20,60]","negative",7.23781486253787,7.2231882128214,0.0514978997976962
"55","2018-05-23","(20,60]","positive",7.23308068684105,7.18993950947249,0.179315005800443
"56","2018-05-28","[1,3]","negative",7.16675208187567,7.16849268433581,0.00565584434691463
"57","2018-05-28","[1,3]","positive",8.23982931217235,8.25034890063263,0.0307765527772981
"58","2018-05-28","(3,7]","negative",6.97093668795204,6.87212240537353,0.360693812217633
"59","2018-05-28","(3,7]","positive",8.54519376433438,8.52421696691968,0.0583193132949578
"60","2018-05-28","(7,20]","negative",5.4818422569246,5.55459183883836,0.26283580406306
"61","2018-05-28","(7,20]","positive",8.56771373765817,8.56798438394639,0.00876541247179393
"62","2018-05-29","[1,3]","negative",2.85917638551756,2.87945661549339,0.0626331251817782
"63","2018-05-29","(3,7]","negative",3.56782510313339,3.53957056983662,0.301142766989762
"64","2018-05-29","(7,20]","negative",5.11564682327974,5.03989882808731,0.60500282500884
"65","2018-05-29","(20,60]","negative",5.84027762493692,5.8402093128809,0.000310450641714737
"66","2018-05-30","[1,3]","negative",6.77634337886126,6.77851658171651,0.0131683597049648
"67","2018-05-30","[1,3]","positive",5.77542084613327,5.78887037390595,0.0709601665790018
"68","2018-05-30","(3,7]","negative",6.83975196459776,6.84236295364972,0.0222242807084792
"69","2018-05-30","(3,7]","positive",6.36562619235051,6.3676610909787,0.26106930170476
"70","2018-05-30","(7,20]","negative",6.99615141502835,7.01854297758827,0.0823906302482318
"71","2018-05-30","(7,20]","positive",7.37082781533916,7.31169035102531,0.2340326395366
"72","2018-05-31","[1,3]","negative",4.55279016636518,4.55320764613201,0.00226096008279587
"73","2018-05-31","[1,3]","positive",3.57509630828793,3.58478239798965,0.065773538253099
"74","2018-05-31","(3,7]","negative",4.25283036897336,4.25003918770301,0.206946903144119
"75","2018-05-31","(3,7]","positive",4.05198759857242,4.05667020898294,0.206427330535099
"76","2018-05-31","(7,20]","negative",5.21183368608511,5.50262391282725,1.38396527071886
"77","2018-05-31","(7,20]","positive",5.53285138499377,5.51939437149832,0.643020086938375
"78","2018-05-31","(20,60]","positive",6.47450695431862,6.47197987337463,0.00900508791948321
