"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd","eventID","score_over_10","airmass_change_flag"
"53","2018-01-05","(7,20]","positive",9.88,9.88,0.00117,"Pos13",2,2
"54","2018-01-06","[1,3]","negative",4.61,4.62,0.0762,"Neg14",6,2
"55","2018-01-06","(3,7]","negative",3.88,3.91,0.577,"Neg14",6,2
"56","2018-01-06","(7,20]","negative",2.93,2.94,0.0313,"Neg14",6,2
"57","2018-01-26","[1,3]","negative",3.66,3.67,0.197,"Neg15",6,2
"58","2018-01-26","[1,3]","positive",3.18,3.18,0.0136,"Pos15",6,2
"59","2018-01-26","(3,7]","negative",4.89,4.8,0.384,"Neg15",6,2
"60","2018-01-26","(3,7]","positive",3.41,3.4,0.118,"Pos15",6,2
"61","2018-01-26","(7,20]","negative",5.26,5.26,0.00672,"Neg15",6,2
"62","2018-02-18","[1,3]","negative",1.36,1.36,0.00167,"Neg16",6,2
"63","2018-02-18","[1,3]","positive",-0.365,-0.347,0.108,"Pos16",5,2
"64","2018-02-18","(3,7]","negative",1.36,1.36,1.9e-05,"Neg16",6,2
"65","2018-02-19","[1,3]","negative",2.43,3.63,3.37,"Neg17",7,2
"66","2018-02-19","[1,3]","positive",3.24,3.32,0.69,"Pos17",7,2
"67","2018-02-19","(3,7]","negative",16.2,15.4,1.72,"Neg17",7,2
"68","2018-02-19","(3,7]","positive",6.53,6.41,0.958,"Pos17",7,2
"69","2018-02-19","(7,20]","negative",5.66,7.63,6.59,"Neg17",7,2
"70","2018-02-19","(7,20]","positive",8.91,9.19,1.06,"Pos17",7,2
"71","2018-02-19","(20,60]","negative",26,25.7,0.758,"Neg17",7,2
"72","2018-02-19","(20,60]","positive",12.1,12,0.24,"Pos17",7,2
"73","2018-02-20","[1,3]","negative",2.67,2.67,0.00248,"Neg18",7,1
"74","2018-02-20","[1,3]","positive",2.87,2.87,0.013,"Pos18",7,1
"75","2018-02-20","(3,7]","negative",2.7,2.7,0.0145,"Neg18",7,1
"76","2018-02-20","(3,7]","positive",3.04,3.04,0.0785,"Pos18",7,1
"77","2018-02-20","(7,20]","negative",2.72,2.72,0.000323,"Neg18",7,1
"78","2018-02-20","(7,20]","positive",3.21,3.2,0.0169,"Pos18",7,1
"79","2018-02-27","[1,3]","negative",-1.36,-0.2,24.5,"Neg19",6,1
"80","2018-02-27","[1,3]","positive",10.3,9.67,3.21,"Pos19",6,1
"81","2018-02-27","(3,7]","negative",51.3,30.2,41.6,"Neg19",6,1
"82","2018-02-27","(3,7]","positive",22.1,13.4,25.2,"Pos19",6,1
"83","2018-02-27","(7,20]","negative",6.45,8.11,9.45,"Neg19",6,1
"84","2018-02-27","(7,20]","positive",11.5,13.9,5.57,"Pos19",6,1
"85","2018-02-27","(20,60]","negative",17.6,18.7,22.5,"Neg19",6,1
"86","2018-03-11","[1,3]","negative",3.93,3.93,0.00108,"Neg20",1,2
"87","2018-03-11","[1,3]","positive",4.3,4.3,0.000605,"Pos20",1,2
"88","2018-03-11","(3,7]","negative",3.88,3.88,0.0203,"Neg20",1,2
"89","2018-03-11","(3,7]","positive",3.7,3.48,0.743,"Pos20",1,2
"90","2018-03-29","[1,3]","negative",7.1,7.11,0.0388,"Neg21",7,0
"91","2018-03-29","[1,3]","positive",5.77,5.78,0.0409,"Pos21",6,0
"92","2018-03-29","(3,7]","negative",7.17,7.07,0.191,"Neg21",7,0
"93","2018-03-29","(3,7]","positive",6.41,6.44,0.383,"Pos21",6,0
"94","2018-03-29","(7,20]","negative",5.54,5.81,0.623,"Neg21",7,0
"95","2018-03-29","(7,20]","positive",5.37,5.73,0.9,"Pos21",6,0
"96","2018-03-29","(20,60]","negative",9.68,9.46,0.647,"Neg21",7,0
"97","2018-03-29","(20,60]","positive",9.3,8.99,0.904,"Pos21",6,0
"98","2018-03-30","(7,20]","negative",11.8,11.8,6.26e-05,"Neg23",1,1
