Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,2,22,10,0,1306.6
2017,6,2,22,20,0,1314.33
2017,6,2,22,30,0,1378.81
2017,6,2,22,40,0,1346.48
2017,6,2,22,50,0,1338.71
2017,6,2,23,0,0,1279.51
2017,6,2,23,10,0,1230.18
2017,6,2,23,20,0,1416.97
2017,6,2,23,30,0,1312.88
2017,6,2,23,40,0,1416.96
2017,6,2,23,50,0,1438.95
2017,6,3,0,0,0,1524.04
2017,6,3,0,10,0,1501.4
2017,6,3,0,20,0,1598.4
2017,6,3,0,30,0,1815.64
2017,6,3,0,40,0,1803.77
2017,6,3,0,50,0,1846.01
2017,6,3,1,0,0,1966.93
2017,6,3,1,10,0,1933.57
2017,6,3,1,20,0,1827.2
2017,6,3,1,30,0,2039.11
2017,6,3,1,40,0,1983.84
2017,6,3,1,50,0,2005.85
2017,6,3,2,0,0,2079.28
2017,6,3,2,10,0,1886.44
2017,6,3,2,20,0,2045.6
2017,6,3,2,30,0,2052.32
2017,6,3,2,40,0,1983.36
2017,6,3,2,50,0,2229.95
2017,6,3,3,0,0,2212.68
2017,6,3,3,10,0,2280.19
2017,6,3,3,20,0,2377.95
2017,6,3,3,30,0,2440.06
2017,6,3,3,40,0,2415.39
2017,6,3,3,50,0,2455.57
2017,6,3,4,0,0,2355.8
2017,6,3,4,10,0,2458.51
2017,6,3,4,20,0,2435.19
2017,6,3,4,30,0,2339.64
2017,6,3,4,40,0,2364.57
2017,6,3,4,50,0,2161.19
2017,6,3,5,0,0,2204.4
2017,6,3,5,10,0,2129.4
2017,6,3,5,20,0,2326.89
2017,6,3,5,30,0,2429.67
2017,6,3,5,40,0,2403.43
2017,6,3,5,50,0,2377.4
2017,6,3,6,0,0,2250.55
2017,6,3,6,10,0,2125.58
2017,6,3,6,20,0,1909.04
2017,6,3,6,30,0,1465.36
2017,6,3,6,40,0,1388.78
2017,6,3,6,50,0,1483.95
2017,6,3,7,0,0,1386.64
2017,6,3,7,10,0,1298.63
2017,6,3,7,20,0,1296.51
2017,6,3,7,30,0,1344.39
2017,6,3,7,40,0,1135.51
2017,6,3,7,50,0,996.365
2017,6,3,8,0,0,849.857
2017,6,3,8,10,0,772.93
2017,6,3,8,20,0,763.665
2017,6,3,8,30,0,637.622
2017,6,3,8,40,0,609.687
2017,6,3,8,50,0,428.979
2017,6,3,9,0,0,547.677
2017,6,3,9,10,0,552.263
2017,6,3,9,20,0,595.548
2017,6,3,9,30,0,591.609
2017,6,3,9,40,0,626.892
2017,6,3,9,50,0,656.329
2017,6,3,10,0,0,704.582
2017,6,3,10,10,0,880.115
2017,6,3,10,20,0,1121.46
2017,6,3,10,30,0,813.288
2017,6,3,10,40,0,955.649
2017,6,3,10,50,0,1214.04
2017,6,3,11,0,0,1032.83
2017,6,3,11,10,0,959.127
2017,6,3,11,20,0,1340.14
2017,6,3,11,30,0,1294.64
2017,6,3,11,40,0,1603.9
2017,6,3,11,50,0,1790.57
2017,6,3,12,0,0,2186.3
2017,6,3,12,10,0,2564.1
2017,6,3,12,20,0,3431.83
2017,6,3,12,30,0,3487.58
2017,6,3,12,40,0,4930.56
2017,6,3,12,50,0,5399.22
2017,6,3,13,0,0,6313.34
2017,6,3,13,10,0,7187.97
2017,6,3,13,20,0,7722.81
2017,6,3,13,30,0,8083.25
2017,6,3,13,40,0,9377.73
2017,6,3,13,50,0,10921.3
2017,6,3,14,0,0,10790.7
2017,6,3,14,10,0,11352.2
2017,6,3,14,20,0,10963.8
2017,6,3,14,30,0,10907.3
2017,6,3,14,40,0,10507.6
2017,6,3,14,50,0,10905.4
2017,6,3,15,0,0,10778.2
2017,6,3,15,10,0,10774.3
2017,6,3,15,20,0,10602.8
2017,6,3,15,30,0,10215.1
2017,6,3,15,40,0,10210.5
2017,6,3,15,50,0,10034.1
2017,6,3,16,0,0,9727.16
2017,6,3,16,10,0,9620.5
2017,6,3,16,20,0,9387.59
2017,6,3,16,30,0,9388.54
2017,6,3,16,40,0,9473.17
2017,6,3,16,50,0,9437.9
2017,6,3,17,0,0,9563.78
2017,6,3,17,10,0,9712.09
2017,6,3,17,20,0,9655.78
2017,6,3,17,30,0,9436.64
2017,6,3,17,40,0,9137.91
2017,6,3,17,50,0,8714.79
2017,6,3,18,0,0,9308.35
2017,6,3,18,10,0,9341.09
2017,6,3,18,20,0,8194.24
2017,6,3,18,30,0,8387.65
2017,6,3,18,40,0,8404.78
2017,6,3,18,50,0,8871.17
2017,6,3,19,0,0,8783.68
2017,6,3,19,10,0,8782.4
2017,6,3,19,20,0,8700.64
